City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-kamenogorsk,49.9789,82.6103,64.33,94,75,4.47,KZ,1720569756
84,uberaba,-19.7483,-47.9319,72.18,64,0,9.22,BR,1720569757
85,chanika,-5.4167,38.0167,64.06,93,91,3.24,TZ,1720569758
86,ushuaia,-54.8,-68.3,38.86,87,75,39.12,AR,1720569759
87,quang ngai,15.1167,108.8,80.71,75,100,2.21,VN,1720569760
88,san juan nepomuceno,9.9516,-75.082,77.67,90,97,6.89,CO,1720569762
89,hadibu,12.65,54.0333,79.81,83,90,21.88,YE,1720569763
90,east ballina,-28.8667,153.5833,70.81,80,33,5.59,AU,1720569764
91,thompson,55.7435,-97.8558,75.36,43,40,4.61,CA,1720569765
92,bredasdorp,-34.5322,20.0403,52.14,79,87,21.07,ZA,1720569766
93,madera,37.1666,-119.8343,108.45,13,0,9.57,US,1720569768
94,olenino,56.2092,33.4889,54.39,79,41,5.53,RU,1720569769
95,brisas de zicatela,15.8369,-97.0419,82.87,79,98,6.31,MX,1720569770
96,carutapera,-1.195,-46.02,76.32,86,21,7.02,BR,1720569771
97,cambria,35.5641,-121.0808,106.23,57,21,13.24,US,1720569772
98,college,64.8569,-147.8028,60.08,84,100,0.0,US,1720569535
99,n'zeto,-7.2312,12.8666,68.7,93,6,5.86,AO,1720569775
100,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,6.71,RU,1720569776
101,qamdo,31.1667,97.2333,47.93,84,100,1.7,CN,1720569777
102,caxito,-8.5785,13.6643,64.83,96,2,1.23,AO,1720569778
103,freetown,8.484,-13.2299,82.11,78,75,6.91,SL,1720569779
104,choyr,46.3611,108.3611,71.51,49,83,3.38,MN,1720569781
105,gospic,44.5461,15.3747,69.49,86,36,3.89,HR,1720569782
106,tura,25.5198,90.2201,75.72,99,100,6.82,IN,1720569783
107,atafu village,-8.5421,-172.5159,82.63,77,59,16.35,TK,1720569784
108,whitehorse,60.7161,-135.0538,74.8,34,75,13.8,CA,1720569630
109,ghat,24.9647,10.1728,85.23,14,7,4.27,LY,1720569787
110,port elizabeth,-33.918,25.5701,59.29,70,20,13.8,ZA,1720569615
111,melilla,35.2937,-2.9383,73.78,83,0,1.14,ES,1720569792
112,bardai,11.65,7.2333,76.26,68,88,9.08,NG,1720569793
113,vilyuchinsk,52.9306,158.4028,53.87,95,100,3.38,RU,1720569794
114,kerrville,30.0474,-99.1403,82.53,73,0,4.61,US,1720569795
115,usinsk,65.9939,57.5281,63.75,64,0,8.84,RU,1720569796
116,palikir - national government center,6.9248,158.1611,86.85,74,100,11.5,FM,1720569798
117,stanley,54.868,-1.6985,56.71,96,100,1.81,GB,1720569799
118,lamin,13.3522,-16.4339,77.11,78,69,10.42,GM,1720569800
119,enewetak,11.3474,162.3373,83.97,73,10,15.84,MH,1720569801
120,turpan,42.9333,89.1667,90.79,31,41,3.4,CN,1720569802
121,lubang,13.8584,120.124,84.22,74,100,7.18,PH,1720569805
122,praia da vitoria,38.7333,-27.0667,77.25,83,40,11.77,PT,1720569806
123,stephenville,32.2207,-98.2023,92.14,41,0,5.75,US,1720569807
124,namp'o,38.7375,125.4078,77.18,74,70,5.19,KP,1720569808
125,rabo de peixe,37.8,-25.5833,71.11,94,75,17.27,PT,1720569810
126,dawei,14.0833,98.2,79.03,86,95,1.77,MM,1720569811
127,pyt-yakh,60.7499,72.8582,63.03,72,65,4.14,RU,1720569812
128,tralee,52.2704,-9.7026,54.46,97,92,4.45,IE,1720569813
129,rawson,-43.3002,-65.1023,38.23,74,6,12.57,AR,1720569816
